Number,Category,Dedicate,Writer,BookName
17,تقدیم  برخی از کتاب ها,"تقدیم به دانشجویان
دانشجویانی که عقلشان بر احساسشان غلبه می‌کند؛
دانشجویانی که برای تحمل آرای دیگران، تمرین می‌کنند؛
دانشجویانی که به واسطه‌ی زحمتی که می‌کشند، همیشه خسته‌اند؛
دانشجویانی که برای چهل سال آینده‌ی خود، برنامه دارند؛
دانشجویانی که فرق بین هشت و هشت و یک دقیقه را می‌دانند؛
دانشجویانی که رنگهای شاد خلقت را در ظاهر خود سپاس می‌دارند؛
دانشجویانی که با محاسبه‌ی حروف اضافه سخن می‌گویند؛
دانشجویانی که قاعده‌مند فکر می‌کنند؛
دانشجویانی که برای هر سوالی، چندین پاسخ متفاوت قایلند؛
دانشجویانی که عصبانیت خود را به تأخیر می‌اندازند؛
دانشجویانی که شأن را بر قدرت مقدم می‌دارند؛
دانشجویانی که در رفتار قابل پیش‌بینی‌اند؛
دانشجویانی که معنای تناسب، درصد و کار تدریجی را می‌دانند؛
دانشجویانی که برای افزایش قدرت کشور، تأمل می‌کنند؛
دانشجویانی که برای جلب اعتماد دیگران، حتی در نگاه کردن دقت می‌کنند و
به دانشجویانی که دغدغه‌ی وفای به عهد، آن‌ها را شب از خواب بیدار می‌کند.",محمود سریع‌القلم,عقلانیت و توسعه‌یافتگی
18,تقدیم  برخی از کتاب ها,"به پیشگاه استاد نظام وفا تقدیم می کنم. هر چند که می دانم این منطومه هدیه ی ناچیزی ست، اما او اهالی کوهستان را به سادگی و صداقتشان خواهد بخشید.",نیما یوشیج,افسانه
19,تقدیم  برخی از کتاب ها,"به لئون ورث
از بچه‌های که ممکن است این کتاب را بخوانند عذر می‌خواهم که کتابم را به یک آدم‌بزرگ تقدیم کرده‌ام. این تقدیم یک علت جدی دارد: او بهترین دوستی است که در دنیا دارم.
دلیل دیگری هم دارم: این آدم‌بزرگ همه چیز را می‌فهمد، حتی کتابهایی که برای بچه‌ها نوشته شده‌‌اند.
دلیل سومی هم دارم: او در سرما و گرسنگی در فرانسه زندگی می‌کند و واقعاً به دلگرمی و روحیه نیاز دارد.
اگر همه‌ی این‌ دلایل باز هم کافی نیست،‌ کتاب را به کودکیِ این آدم‌بزرگ تقدیم می‌‌کنم. همه‌ی آدم‌بزرگ‌ها روزی بچه بوده‌اند (اگر چه تعداد کمی از آن‌ها این را به یاد می‌آورند.)
بنابراین تقدیم‌نامه‌ام را اصلاح می‌کنم:
به لئون ورث، وقتی که پسر کوچکی بود.",آنتوان دو سنت اگزوپری,شازده کوچولو
20,تقدیم  برخی از کتاب ها,"تقدیم به نارنجی‌پوش‌های همه‌ی شهرهای ایران
زباله‌گردهای کوچه پس‌کوچه‌های شهر
کارگران ایستگاه‌های تفکیک
و زحمتکشان پسماندگاه‌ها",محمد فاضلی و همکارانش,جامعه شناسی کنش محیط زیستی
21,تقدیم  برخی از کتاب ها,"من این کتاب را به فرمانده‌ی ارشد خود، جورج دبلیو بوش تقدیم می‌کنم.
چرا که پیشرفت چشمگیر شغلی او به رغم مهارت‌های کلامی ضعیفش، من را به این باور رساند که می‌توانم یک کتاب بنویسم.",پدرام امینی,Fuzzing
22,تقدیم  برخی از کتاب ها,"پت عزیزم
یک روز که سرگرم تراشیدن مجسمه‌ای چوبی بودم، پیشم آمدی و گفتی: «چرا چیزی برای من نمی‌سازی؟»
از تو پرسیدم که چه می‌خواهی و تو گفتی: «یک جعبه.»
«برای چه کاری؟»
«می‌خواهم چیزهایی در آن بگذارم.»
«چه چیزهایی؟»
«هر چه تو داری [و به من بدهی.]»
خب. این هم جعبه‌ی تو. تقریباً هر چه دارم در آن است و البته هنوز پُر نشده است.
دردها و هیجان‌هایم در آن است؛ و نیز حال خوب و بدم، اندیشه‌های بد و اندیشه‌های خوبم، لذت طراحی، کمی ناامیدی و البته لذت وصف‌ناپذیر ساختن و خلق کردن.
و از همه‌ی این‌ها مهم‌تر و بالاتر: تمام قدردانی و عشقی که نسبت به تو دارم.
و هنوز هم این جعبه پر نشده است.
جان.",جان اشتین‌بک,شرق بهشت
23,تقدیم  برخی از کتاب ها,"ناپدری من عادت داشت به من بگوید «چیزهایی که تو نمی‌دانی، خودش یک کتاب را پُر می‌کند.» خُب. این‌ هم آن کتاب.",توبیاس ولف,زندگی این پسر
24,تقدیم  برخی از کتاب ها,"تقدیم به کیت و مورگان
و همه‌ی کسانی که
عشق اول‌شان
عشقی سخت بوده است.",الن ویتلینگر,عشق سخت
25,تقدیم  برخی از کتاب ها,"تقدیم به همسرم مارگانیت
و فرزندانم اِلا رُز و دنیل آدام
بدون آ‌ن‌ها این نوشتن کتاب دو سال زودتر به پایان می‌رسید.",جوزف روتمن,مقدمه‌ای بر توپولوژی جبری
26,تقدیم  برخی از کتاب ها,"این کتاب را با عشق به پدرم جوزف هیل ایوانز تقدیم می‌کنم.
واقعیت اینه که پدرم اهل خوندن کتاب داستان نیست.
بنابراین اگر دیگران بهش خبر ندن، هیچ‌وقت نمی‌فهمه که این کتاب به اون تقدیم شده.",تد ویلیامز,Otherland
27,تقدیم  برخی از کتاب ها,"این کتاب را با عشق به پدرم جوزف هیل ایوانز تقدیم می‌کنم.
همون‌طور که قبلاً گفتم، اون کتاب داستان نمی‌خونه. هنوز هم خبر نداره که اینا به اون تقدیم شده.
این جلد دوم از مجموعه است. ببینیم چقدر باید جلو بریم تا اون بالاخره متوجه بشه.",تد ویلیامز,Otherland
28,تقدیم  برخی از کتاب ها,"این کتاب رو به همون کسی که می‌دونین تقدیم می‌کنم، اگرچه خودش نمی‌دونه.
شاید بتونیم این راز رو بین خودمون تا آخرین جلد از این مجموعه نگه داریم.",تد ویلیامز,Otherland
29,تقدیم  برخی از کتاب ها,"پدرم هنوز لای هیچ‌کدوم از کتابا رو باز نکرده. بنابراین هنوز از تقدیم‌ها خبر نداره.
دارم فکر می‌‌کنم شاید بهتر باشه خودم بهش بگم.",تد ویلیامز,Otherland
30,تقدیم  برخی از کتاب ها,"هر کی تا حالا هیچ کتابی بهش تقدیم نشده، چند قدم بیاد جلو.
نه! بابا! تو برو عقب وایسا!",تد ویلیامز,Otherland
31,تقدیم  برخی از کتاب ها,"تقدیم به بئاتریس،
محبوب، عزیزترین، مُرده.",لمونی اسنیکت,مجموعه حوادث ناگوار
32,تقدیم  برخی از کتاب ها,"برای بئاتریس،
عشقم به تو ابدی است،
اگر چه تو ابدی نبودی.",لمونی اسنیکت,مجموعه حوادث ناگوار
33,تقدیم  برخی از کتاب ها,"برای بئاتریس،
بسیار ترجیح می‌دادم زنده بودی و حالت خوب بود.",لمونی اسنیکت,مجموعه حوادث ناگوار
34,تقدیم  برخی از کتاب ها,"برای بئاتریس،
عشقم مانند پروانه پرواز می‌کرد،
تا این‌که مرگ مانند خفاش هجوم آورد.",لمونی اسنیکت,مجموعه حوادث ناگوار
35,تقدیم  برخی از کتاب ها,"برای بئاتریس،
تو همیشه در قلبم خواهی بود،
در ذهنم،
و در قبرت.",لمونی اسنیکت,مجموعه حوادث ناگوار
36,تقدیم  برخی از کتاب ها,"وقتی همدیگر را دیدیم، زندگی من آغاز شد،
و پس از مدتی بسیار کوتاه، زندگی تو به پایان رسید.",لمونی اسنیکت,مجموعه حوادث ناگوار
37,تقدیم  برخی از کتاب ها,"برای بئاتریس،
وقتی با هم بودیم، نفسم در سینه حبس می‌شد،
و اکنون تو از نفس افتاده‌ای.",لمونی اسنیکت,مجموعه حوادث ناگوار
38,تقدیم  برخی از کتاب ها,"برای بئاتریس،
تابستان بدون تو، به اندازه‌ی زمستان سرد است،
و زمستان بی‌ تو، حتی سردتر است.",لمونی اسنیکت,مجموعه حوادث ناگوار
39,تقدیم  برخی از کتاب ها,"برای بئاتریس،
عشق ما قلب مرا شکست،
و قلب تو را از حرکت باز داشت.",لمونی اسنیکت,مجموعه حوادث ناگوار
40,تقدیم  برخی از کتاب ها,"برای بئاتریس،
وقتی یکدیگر را دیدیم،‌ تو حسابی زیبا بودی و من تنها.
اکنون من حسابی تنها شده‌ام.",لمونی اسنیکت,مجموعه حوادث ناگوار
41,تقدیم  برخی از کتاب ها,"برای بئاتریس،
زنانِ مُرده داستان نمی‌گویند.
این مردان غم‌زده هستند که داستان می‌نویسند.",لمونی اسنیکت,مجموعه حوادث ناگوار
42,تقدیم  برخی از کتاب ها,"برای بئاتریس،
هیچ کس نمی‌توانست آتش عشق مرا خاموش کند،
و نیز آتش خانه‌ی تو را.",لمونی اسنیکت,مجموعه حوادث ناگوار
43,تقدیم  برخی از کتاب ها,"برای بئاتریس،
من ماندم و گرامی داشته شدم، و تو نابود شدی.
دنیا همیشه هولناک بوده است.",لمونی اسنیکت,مجموعه حوادث ناگوار
44,تقدیم  برخی از کتاب ها,"لوسی عزیزم،
من این داستان را برای تو نوشتم، اما وقتی شروعش کردم متوجه نشده بودم که دخترها سریع‌تر از کتاب‌ها رشد می‌کند.نتیجه این‌که همین الان تو بزرگ‌تر از آن شده‌ای که افسانه‌های پریان را بخوانی.
و زمانی که کتاب چاپ و بسته‌بندی شود، تو باز هم بزرگ‌تر شده‌ای.
اما روزی به اندازه‌ی کافی پیر می‌شوی که دوباره خواندن این نوع افسانه‌ها را آغاز کنی.
می‌توانی آن‌ها را از طبقه‌ی بالای کتابخانه برداری، غبارشان را پاک کنی، و به من بگویی که درباره‌شان چه فکر می‌کنی.
احتمالاً من آن زمان، چنان ناشنوا شده‌ام که حرف‌هایت را نخواهم شنید، و آن‌‌قدر پیر که کلماتت را متوجه نخواهم شد. اما هنوز همانم که بودم:
پدرخوانده‌ی دلسوز تو",سی. ای. لوئیس,هفت‌گانه
